obf,disccount,nodekindcode,lowerbound,upperbound
--------------------X-----OXX-----XOX-------O------------------- X;,8,2,6,6
-----------XXX------O-----XOO-----OOO--------------------------- X;,10,16,-10,36
------------------OOOX----XOX------OO------O-------------------- X;,10,8,-36,16
-----------------O--X----XOXX------OOO-------------------------- X;,9,2,20,20
-----------XXX------O-----XXO------OO-----O--------------------- X;,10,16,-10,36
-----------------O-------OXXX----O-OO------O-------------------- X;,9,8,-36,10
-------------------OXXX---OOO-----XXX--------------------------- X;,10,8,-36,20
-----------XXX----O-O-----XOO------XO--------------------------- X;,10,16,-10,36
-------------------XO------XO-----XXOX---X--O------------------- X;,10,16,-10,36
-------------------X------OOOO----XXOX-----O-------------------- X;,10,2,-2,-2
-----------------X--------XXXX-----XX-----OOO------------------- X;,10,16,-10,36
-------------------OX------OXX----XOXO-----O-------------------- X;,10,2,6,6
-------------------XO------OO-----OOOO--------O----------------- X;,9,8,-36,10
-------------------OX-O----XXO----XOO------O-------------------- X;,10,16,-6,36
--------------------X----XXXX-----OOOO----O--------------------- X;,10,8,-36,16
------------OX----O-O-----XXOX-----XO--------------------------- X;,10,16,-10,36
-------------O-----XOX-----OX-----OXO-----X--------------------- X;,10,16,-16,36
----------X--------X-O----XXXO-----OOO-------------------------- X;,10,16,-10,36
--------------------X-----OXX-O---XOXO------O------------------- X;,10,2,6,6
-------------X----O-X-O---XXXO-----XO--------------------------- X;,10,16,-10,36
-----------X--------X------XOOO----OO-------O------------------- X;,9,16,0,36
-----------------O--------OXX------OO------O-------------------- X;,7,2,10,10
-------------------X-------XX-----OOO--------------------------- X;,6,1,-4,-4
-------------X-----XX----OOXO------OO-------O------------------- X;,10,16,-4,36
---------X--------XX------OOOO----OOO--------------------------- X;,10,2,20,20
---------X--O-----XO------OXX-----OOO--------------------------- X;,10,2,30,30
------------O-X-----OX-----XOO-----OOO-------------------------- X;,10,2,36,36
--------------------X-----OOOO----XOOO-------------------------- X;,9,8,-36,6
---------X--------XXO-----OOO-----OOO--------------------------- X;,10,2,20,20
---------XO-------OX------OXX-----OOO--------------------------- X;,10,2,36,36
--------------------X-----OXO----OOOO-------O------------------- X;,9,16,-6,36
--------------------------XXX-----XOO-----OO-----O-------------- X;,9,4,-20,-20
-------------------XO------XXO-----XOO-------O------------------ X;,9,2,18,18
-------------------OOO----XXOX-----OO-------O------------------- X;,10,8,-36,16
-------------------XXX----OOOO-----XO--------------------------- X;,9,16,-16,36
------------------OXXX-----OOO-----XO--------------------------- X;,9,16,-16,36
-------------------X-------XXO-----XXO-------O------------------ X;,8,2,16,16
-------------X----OOX----OOOO------XO--------------------------- X;,10,8,-36,16
